epoch,train_loss,val_loss,val_dice
1,0.3284240210056305,0.3073141021387918,0.07578696150864873
2,0.16326220989227294,0.14997802249022893,0.500975808926991
3,0.1060429087281227,0.09494144043752126,0.6153234073093959
4,0.07570967078208923,0.06950258250747408,0.6083425794328962
5,0.057744474858045576,0.0516270494886807,0.6704693181174142
6,0.0463195689022541,0.053433626890182495,0.6018718225615365
7,0.03851393535733223,0.03967734692352159,0.6037182552473885
8,0.03380132868885994,0.039249811321496964,0.674936728818076
9,0.030811888948082924,0.029232683458498547,0.7061068671090263
10,0.02720783241093159,0.028461117829595293,0.6625326446124485
11,0.02403502807021141,0.02342451603284904,0.7215041943958828
12,0.021659493967890738,0.020577019346611842,0.7563238143920898
13,0.02016294203698635,0.021836318873933384,0.7776520763124738
14,0.018579831644892693,0.01849797261612756,0.7791924391474042
15,0.01694646753370762,0.017668330509747778,0.8017106141362872
16,0.015107482932507991,0.01536926201411656,0.8087833523750305
17,0.014146778248250485,0.0143471092783979,0.8248507635934013
18,0.013456696793437004,0.015347339745078768,0.7710915122713361
19,0.012548088058829308,0.013166476307170731,0.839893272944859
20,0.011987925246357918,0.012748236634901591,0.8174070971352714
