epoch,train_loss,val_loss,val_dice
1,0.31445773363113405,0.26881017429488047,0.24597244829471623
2,0.1516917997598648,0.12866250425577164,0.24496080619948252
3,0.09830084502696991,0.08513838372060231,0.46776261925697327
4,0.07032452180981635,0.06470494398048945,0.5755967157227653
5,0.0546857388317585,0.05547342130116054,0.6301169736044747
6,0.04582477733492851,0.044487124042851586,0.6331943273544312
7,0.038516833186149596,0.037205374134438376,0.6661438345909119
8,0.032038033083081244,0.03275077710194247,0.6963287506784711
9,0.028609690144658088,0.027734836829560145,0.6403811233384269
10,0.025549777001142502,0.025902646726795604,0.7342366065297808
